FID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
287,20,57650,02396271,2057650,Prescott,Prescott city,25,C1,N,N,G4110,A,737995,52889,+38.0631217,-094.6925123,1277920.94140625,8647.92355828335
288,20,20050,02394635,2020050,Elbing,Elbing city,25,C1,N,N,G4110,A,445263,0,+38.0534097,-097.1283358,719269.75390625,4934.89745009825
289,20,61600,02396445,2061600,Rozel,Rozel city,25,C1,N,N,G4110,A,498643,0,+38.1953866,-099.4032528,808610.6484375,4679.55058792059
290,20,18325,02394550,2018325,Dorrance,Dorrance city,25,C1,N,N,G4110,A,879160,0,+38.8468909,-098.5900437,1451490.22265625,6021.48175868945
291,20,27000,02394934,2027000,Gorham,Gorham city,25,C1,N,N,G4110,A,619494,0,+38.8806759,-099.0237010,1023751.34765625,4305.53402302053
292,20,33425,02394441,2033425,Hugoton,Hugoton city,25,C1,N,N,G4110,A,5389562,0,+37.1745138,-101.3446892,8504483.84375,18436.2440456955
293,20,25425,00485580,2025425,Gardner,Gardner city,25,C5,N,N,G4110,A,30205173,150381,+38.8123577,-094.9262909,50068689.8164063,107482.190053366
294,20,33575,02394458,2033575,Huron,Huron city,25,C1,N,N,G4110,A,186041,0,+39.6382327,-095.3511991,314106.3046875,2909.67378840043
295,20,49325,02395144,2049325,Muscotah,Muscotah city,25,C1,N,N,G4110,A,863311,0,+39.5535668,-095.5204187,1454052.1328125,5188.65420920516
296,20,08675,02393437,2008675,Brownell,Brownell city,25,C1,N,N,G4110,A,513174,0,+38.6406194,-099.7442750,842405.2265625,4462.64724611967
297,20,57725,02396282,2057725,Princeton,Princeton city,25,C1,N,N,G4110,A,1008195,9095,+38.4862391,-095.2700916,1662910.33203125,6935.57218264458
298,20,18050,02394534,2018050,Dighton,Dighton city,25,C1,N,N,G4110,A,2245945,0,+38.4810101,-100.4663669,3670674.88671875,9718.39220589179
299,20,59675,02396369,2059675,Richmond,Richmond city,25,C1,N,N,G4110,A,883765,0,+38.4003331,-095.2519490,1441183.375,8096.79271830007
300,20,76625,02397253,2076625,Wellsville,Wellsville city,25,C1,N,N,G4110,A,4440058,32111,+38.7176621,-095.0778619,7357032.14453125,21673.5180734458
301,20,79300,02397319,2079300,Williamsburg,Williamsburg city,25,C1,N,N,G4110,A,2530399,26298,+38.4810560,-095.4675015,4178508.51953125,13113.0928960815
302,20,01625,02393940,2001625,Altoona,Altoona city,25,C1,N,N,G4110,A,1382373,6664,+37.5245174,-095.6614982,2212222.21875,8565.67430553711
303,20,09150,02393456,2009150,Buffalo,Buffalo city,25,C1,N,N,G4110,A,822797,0,+37.7091077,-095.6969304,1316861.015625,7469.05243744982
304,20,16150,02393658,2016150,Coyville,Coyville city,25,C1,N,N,G4110,A,697546,0,+37.6872403,-095.8959383,1115752.7578125,5836.38802102367
